./sim < tests/agents.slang
testName time fitness gens maxGens agents groupsize e0 e1 e2 e3 e4 e5 e6 e7 e8 e9 e10
agents2Test 0.700000 0.974000 100 100 500 10 0 0 0 0 0.032 0.172 0.356 0.58 0.81 0.956 0.974
agents2Test 0.700000 0.994000 100 100 500 10 0 0 0 0 0.042 0.218 0.444 0.71 0.938 0.99 0.994
agents2Test 0.700000 0.900000 100 100 500 10 0 0 0 0 0.024 0.13 0.3 0.504 0.702 0.87 0.9
agents2Test 0.700000 0.912000 100 100 500 10 0 0 0 0 0.026 0.142 0.322 0.504 0.694 0.88 0.912
agents2Test 0.700000 0.936000 100 100 500 10 0 0 0 0 0.028 0.144 0.314 0.542 0.764 0.92 0.936
agents2Test 0.700000 0.974000 100 100 500 10 0 0 0 0 0.034 0.172 0.35 0.592 0.844 0.964 0.974
agents2Test 0.700000 0.980000 100 100 500 10 0 0 0 0 0.024 0.146 0.342 0.606 0.838 0.968 0.98
agents2Test 0.700000 0.994000 100 100 500 10 0 0 0 0 0.032 0.18 0.362 0.594 0.85 0.976 0.994
agents2Test 0.700000 0.924000 100 100 500 10 0 0 0 0 0.026 0.14 0.318 0.53 0.736 0.912 0.924
agents2Test 0.700000 0.986000 100 100 500 10 0 0 0 0 0.032 0.178 0.392 0.656 0.878 0.982 0.986
agents2Test 0.700000 0.964000 100 100 500 10 0 0 0 0 0.024 0.158 0.338 0.546 0.762 0.94 0.964
agents2Test 0.700000 0.938000 100 100 500 10 0 0 0 0 0.024 0.128 0.318 0.524 0.738 0.908 0.938
agents2Test 0.700000 0.994000 100 100 500 10 0 0 0 0 0.042 0.202 0.41 0.656 0.88 0.988 0.994
agents2Test 0.700000 0.990000 100 100 500 10 0 0 0 0 0.032 0.182 0.406 0.672 0.886 0.97 0.99
agents2Test 0.700000 0.992000 100 100 500 10 0 0 0 0 0.032 0.168 0.374 0.6 0.812 0.956 0.992
agents2Test 0.700000 0.954000 100 100 500 10 0 0 0 0 0.03 0.144 0.34 0.546 0.754 0.926 0.954
agents2Test 0.700000 0.992000 100 100 500 10 0 0 0 0 0.036 0.182 0.394 0.632 0.85 0.974 0.992
agents2Test 0.700000 0.962000 100 100 500 10 0 0 0 0 0.028 0.146 0.328 0.542 0.754 0.948 0.962
agents2Test 0.700000 0.864000 100 100 500 10 0 0 0 0 0.024 0.13 0.292 0.476 0.662 0.844 0.864
agents2Test 0.700000 0.892000 100 100 500 10 0 0 0 0 0.026 0.132 0.324 0.506 0.698 0.884 0.892
agents2Test 0.700000 0.944000 100 100 500 10 0 0 0 0 0.026 0.13 0.326 0.524 0.726 0.92 0.944
agents2Test 0.700000 0.958000 100 100 500 10 0 0 0 0 0.03 0.164 0.37 0.568 0.76 0.952 0.958
agents2Test 0.700000 0.998000 100 100 500 10 0 0 0 0 0.028 0.168 0.382 0.698 0.914 0.986 0.998
agents2Test 0.700000 0.972000 100 100 500 10 0 0 0 0 0.032 0.16 0.362 0.59 0.802 0.946 0.972
agents2Test 0.700000 1.000000 98 100 500 10 0 0 0 0 0.04 0.19 0.406 0.67 0.898 0.994 1
agents2Test 0.700000 0.968000 100 100 500 10 0 0 0 0 0.028 0.148 0.332 0.55 0.768 0.952 0.968
agents2Test 0.700000 0.980000 100 100 500 10 0 0 0 0 0.03 0.164 0.34 0.564 0.786 0.92 0.98
agents2Test 0.700000 0.988000 100 100 500 10 0 0 0 0 0.04 0.204 0.43 0.672 0.9 0.99 0.988
